compliance_label,compliance_score,domain,error,language_detected,q_1.1_answer,q_1.1_evidence,q_1.2_answer,q_1.2_evidence,q_1.3_answer,q_1.3_evidence,q_2.1_answer,q_2.1_evidence,q_2.2_answer,q_2.2_evidence,q_2.3_answer,q_2.3_evidence,q_2.4_answer,q_2.4_evidence,q_3.2_answer,q_3.2_evidence,q_4.1_answer,q_4.1_evidence,q_4.2_answer,q_4.2_evidence,q_5.1_answer,q_5.1_evidence,q_5.2_answer,q_5.2_evidence,q_5.3_answer,q_5.3_evidence,q_5.4_answer,q_5.4_evidence,q_5.5_answer,q_5.5_evidence,q_5.6_answer,q_5.6_evidence,q_5.7_answer,q_5.7_evidence,q_5.8_answer,q_5.8_evidence,q_6.1_answer,q_6.1_evidence,q_7.1_answer,q_7.1_evidence,q_7.2_answer,q_7.2_evidence,q_7.3_answer,q_7.3_evidence,q_8.1_answer,q_8.1_evidence,q_8.2_answer,q_8.2_evidence,q_9.1_answer,q_9.1_evidence,status,summary,translation_performed
NON_COMPLIANT,0,0x00.lv,,English,NO,The policy consists solely of decorative ASCII art and contains no text identifying the data controller.,NO,"No contact details such as address, email, or phone are provided.",NO,No mention of a Data Protection Officer or their contact details.,NO,No purposes of processing are stated.,NO,No legal basis for processing is specified.,NO,No mention of legitimate interest or its description.,NO,No information about consent or its withdrawal.,NO,No retention period or criteria are provided.,NO,No recipients or categories of recipients are identified.,NO,No mention of international transfers or safeguards.,NO,No information about the right to access personal data.,NO,No information about the right to rectification.,NO,No information about the right to erasure.,NO,No information about the right to restrict processing.,NO,No information about the right to data portability.,NO,No information about the right to object.,NO,No information about the right to withdraw consent.,NO,No information about the right to lodge a complaint with a supervisory authority.,NO,No mention of automated decision-making or profiling.,NO,No mention of cookies or similar tracking technologies.,NO,No explanation on how to manage or disable cookies.,NO,No statement about third-party cookies.,NO,"The policy is not in clear, plain language; it consists only of decorative ASCII art.",NO,The policy is not easily accessible as it contains no substantive content.,NO,No information about third-party data sources or categories.,success,"The provided text is not a privacy policy but decorative ASCII art. It contains no substantive information required under the GDPR, resulting in a complete lack of compliance across all checklist items.",False
NON_COMPLIANT,0,1000-neue-vertriebskarrieren.de,,German,NO,The policy does not mention any data controller identity; it only promotes job opportunities at AXA.,NO,"No contact details (address, email, or phone) of the controller are provided.",NO,No mention of a Data Protection Officer or their contact details.,NO,The text does not state any purposes for processing personal data; it is a recruitment advertisement.,NO,No legal basis for processing is specified.,NO,No legitimate interest is described.,NO,No information about consent or withdrawal of consent.,NO,No retention period or criteria are mentioned.,NO,No recipients or categories of recipients are identified.,NO,No mention of international transfers or safeguards.,NO,No information about the right to access personal data.,NO,No mention of the right to rectification.,NO,No mention of the right to erasure.,NO,No mention of the right to restrict processing.,NO,No mention of the right to data portability.,NO,No mention of the right to object.,NO,No mention of the right to withdraw consent.,NO,No mention of the right to lodge a complaint with a supervisory authority.,NO,No mention of automated decision-making or profiling.,NO,No mention of cookies or tracking technologies.,NO,No explanation on how to manage or disable cookies.,NO,No mention of third-party cookies.,PARTIAL,"The language is clear and plain, but it is not a privacy policy; it lacks any privacy-related content.",PARTIAL,"The text is easily accessible as a webpage, but it is not a privacy policy; it is a job advertisement.",NO,No mention of third-party data sources or transparency information.,success,"The provided text is not a privacy policy but a recruitment advertisement for AXA sales jobs. It contains no information about data processing, controller identity, user rights, or any GDPR-required disclosures. Therefore, it is completely non-compliant with GDPR requirements.",True
NON_COMPLIANT,4,1000farmacie.it,,Italian,NO,"The policy only states 'Informativa Privacy' and provides a link, but the linked content is not shown; no controller identity is mentioned in the provided text.",NO,"No contact details (address, email, or phone) are provided in the policy text.",NO,No mention of a Data Protection Officer or their contact details.,NO,The policy does not state any purposes for processing personal data.,NO,No legal basis for processing is specified.,NO,No mention of legitimate interest or its description.,NO,No information about consent or how to withdraw it.,NO,No data retention period or criteria are mentioned.,NO,No recipients or categories of recipients are identified.,NO,No mention of international transfers or safeguards.,NO,No information about the right to access personal data.,NO,No mention of the right to rectification.,NO,No mention of the right to erasure.,NO,No mention of the right to restrict processing.,NO,No mention of the right to data portability.,NO,No mention of the right to object.,NO,No mention of the right to withdraw consent.,NO,No mention of the right to lodge a complaint with a supervisory authority.,NO,No mention of automated decision-making or profiling.,NO,No mention of cookies or similar tracking technologies.,NO,No explanation on how to manage or disable cookies.,NO,No mention of third-party cookies.,PARTIAL,"The policy text is minimal and not overly legalistic, but it lacks substantive content to be considered clear and plain.",PARTIAL,"The policy is linked in the footer ('Informativa Privacy'), but the actual content is not provided, making it not easily accessible.",NO,No mention of third-party data sources or related transparency information.,success,"The privacy policy is essentially non-existent, consisting only of a link to an external page with no substantive content provided. It fails to address nearly all GDPR requirements, including controller identity, purposes, legal basis, data subject rights, and cookie disclosure. The policy is severely non-compliant.",True
NON_COMPLIANT,0,1000karrieren.de,,German,NO,The policy does not mention any data controller identity; it only describes job opportunities at AXA.,NO,"No contact details (address, email, or phone) of the controller are provided.",NO,No mention of a Data Protection Officer or their contact details.,NO,The policy does not state any purposes for processing personal data; it is a recruitment page.,NO,No legal basis for processing is specified.,NO,No mention of legitimate interest or its description.,NO,No information about consent or how to withdraw it.,NO,No retention period or criteria for determining retention are provided.,NO,No recipients or categories of recipients are identified.,NO,No mention of international transfers or safeguards.,NO,No information about the right to access personal data.,NO,No mention of the right to rectification.,NO,No mention of the right to erasure.,NO,No mention of the right to restrict processing.,NO,No mention of the right to data portability.,NO,No mention of the right to object.,NO,No mention of the right to withdraw consent.,NO,No mention of the right to lodge a complaint with a supervisory authority.,NO,No mention of automated decision-making or profiling.,NO,No mention of cookies or tracking technologies.,NO,No explanation on how to manage or disable cookies.,NO,No mention of third-party cookies.,PARTIAL,"The language is clear and plain, but it is not a privacy policy; it is a recruitment page.",PARTIAL,"The page is easily accessible as a standalone page, but it does not contain privacy policy information.",NO,No mention of third-party data sources or transparency information.,success,"The provided text is not a privacy policy but a recruitment page for AXA jobs. It contains no GDPR-required information such as controller identity, purposes, legal basis, data subject rights, or cookie disclosures. Therefore, it is completely non-compliant with GDPR requirements.",True
NON_COMPLIANT,0,1000neuevertriebskarrieren.de,,German,NO,The policy does not mention any data controller identity; it only promotes job opportunities at AXA.,NO,"No contact details (address, email, or phone) of the controller are provided.",NO,No mention of a Data Protection Officer or their contact details.,NO,The text does not state any purposes for processing personal data; it is a recruitment advertisement.,NO,No legal basis for processing is specified.,NO,No legitimate interest is described.,NO,No information about consent or how to withdraw it.,NO,No retention period or criteria are mentioned.,NO,No recipients or categories of recipients are identified.,NO,No mention of international transfers or safeguards.,NO,No information about the right to access personal data.,NO,No mention of the right to rectification.,NO,No mention of the right to erasure.,NO,No mention of the right to restrict processing.,NO,No mention of the right to data portability.,NO,No mention of the right to object.,NO,No mention of the right to withdraw consent.,NO,No mention of the right to lodge a complaint with a supervisory authority.,NO,No mention of automated decision-making or profiling.,NO,No mention of cookies or tracking technologies.,NO,No explanation on how to manage or disable cookies.,NO,No mention of third-party cookies.,PARTIAL,"The language is clear and plain, but it is not a privacy policy; it is a job advertisement.",NO,The text is not a privacy policy; it is a career page and does not provide easy access to a privacy policy.,NO,No mention of third-party data sources.,success,"The provided text is not a privacy policy but a recruitment advertisement for AXA. It contains no information required under GDPR, such as controller identity, purposes, legal basis, data subject rights, or cookie disclosures. Therefore, it is completely non-compliant with GDPR transparency obligations.",True
NON_COMPLIANT,0,1000vertriebskarrieren.de,,German,NO,The policy does not mention any data controller identity; it only promotes job opportunities at AXA.,NO,"No contact details (address, email, or phone) of the controller are provided.",NO,There is no mention of a Data Protection Officer or their contact details.,NO,The text does not state any purposes for processing personal data; it is purely a recruitment advertisement.,NO,No legal basis for processing is specified.,NO,No legitimate interest is described or mentioned.,NO,There is no information about consent or how to withdraw it.,NO,No retention period or criteria for determining retention are provided.,NO,No recipients or categories of recipients are identified.,NO,No mention of international transfers or safeguards.,NO,The right to access personal data is not mentioned.,NO,The right to rectification is not mentioned.,NO,The right to erasure is not mentioned.,NO,The right to restrict processing is not mentioned.,NO,The right to data portability is not mentioned.,NO,The right to object is not mentioned.,NO,The right to withdraw consent is not mentioned.,NO,The right to lodge a complaint with a supervisory authority is not mentioned.,NO,No mention of automated decision-making or profiling.,NO,No mention of cookies or similar tracking technologies.,NO,No explanation on how to manage or disable cookies.,NO,No mention of third-party cookies.,PARTIAL,"The language is clear and plain, but it is not a privacy policy; it lacks any privacy-related information.",PARTIAL,"The text is easily accessible as a webpage, but it is not a privacy policy; it is a job advertisement.",NO,No mention of third-party data sources or related transparency information.,success,"The provided text is not a privacy policy but a recruitment advertisement for AXA sales jobs. It contains no information about data processing, controller identity, user rights, or any GDPR-required disclosures. Therefore, it is completely non-compliant with GDPR requirements.",True
PARTIALLY_COMPLIANT,45,1001giochi.it,,Italian,YES,Admeen B.V. is responsible for the processing of the data on Website.,YES,Admeen B.V. Attn 1001giochi.it Duurzaamheidstraat 13 8094 SC Hattemerbroek the Netherlands E-mail: legal@admeen.com,NO,No mention of a Data Protection Officer or their contact details.,YES,"Stated below are the main reasons and personal data we, and our third party partners, process (mainly through cookies).",PARTIAL,"Consent is mentioned for third-party cookies ('These cookies are stored after your consent'), but legal basis for other processing (e.g., functional cookies) is not explicitly stated.",NO,No mention of legitimate interest as a legal basis.,PARTIAL,"Consent is given by clicking 'I agree' or continuing to use the site, but withdrawal is only implied via privacy settings link ('At any time you can change the privacy settings for this website by clicking on the Privacy Settings link').",PARTIAL,For passively provided data: 'We will not store data provided passively longer than strictly necessary for the purpose for which they were collected.' No specific retention periods.,YES,"Lists third parties: Google, CrazyGames, Famobi, GameDistribution, GoodGame, BigPoint, Upjers.",PARTIAL,"States Google may transfer data to the US ('transmitted to, and stored by, Google on servers in the United States'), but does not describe safeguards (e.g., SCCs).",PARTIAL,Mentions 'questions regarding access and amendments to your personal data' but does not explicitly inform of the right to access.,PARTIAL,Mentions 'amendments to your personal data' but does not explicitly inform of the right to rectification.,NO,No mention of the right to erasure.,NO,No mention of the right to restrict processing.,NO,No mention of the right to data portability.,NO,No mention of the right to object.,PARTIAL,"Implied via privacy settings link, but not explicitly stated as a right to withdraw consent at any time.",NO,No mention of the right to lodge a complaint with a supervisory authority.,NO,No mention of automated decision-making or profiling.,YES,Website uses cookies. A cookie is a simple small file...,YES,"If you want to delete cookies, you should do this in the settings of your browser.",YES,Third-party: Because of these cookies we can display advertisements tuned to your interests.,PARTIAL,"Generally clear but some sections are legalistic (e.g., 'Because our processing falls within the statutory exemption schemes').",YES,The privacy statement is linked in the footer and accessible via the 'Privacy Statement' page.,NO,No mention of collecting data from third parties; data is collected directly from users or via cookies.,success,"The policy covers basic transparency requirements (controller identity, purposes, recipients, cookies) but lacks explicit information on many data subject rights (erasure, restriction, portability, objection, complaint), legal bases, retention criteria, and international transfer safeguards. It is partially compliant but requires significant improvements to meet GDPR standards.",True
NON_COMPLIANT,45,1001hry.cz,,Czech,YES,Admeen B.V. is responsible for the processing of the data on Website.,YES,"Admeen B.V., Duurzaamheidstraat 13, 8094 SC Hattemerbroek, the Netherlands, E-mail: legal@admeen.com",NO,No mention of a Data Protection Officer or their contact details.,YES,"Main reasons include making sure the website functions, analyzing user statistics, offering advertisements, and assuring partner games function.",PARTIAL,"Consent is mentioned for third-party cookies, but legal bases for other processing (e.g., legitimate interest for analytics) are not explicitly stated.",NO,No legitimate interest is described; the policy only mentions consent for some processing.,PARTIAL,"Consent is given by clicking 'I agree' or continuing to use the site, but withdrawal is only implied via privacy settings or deleting cookies, not clearly explained.",PARTIAL,For passively provided data: 'We will not store data provided passively longer than strictly necessary for the purpose for which they were collected.' No specific retention periods.,YES,"Recipients include Google, CrazyGames, Famobi, GameDistribution, GoodGame, BigPoint, Upjers, and other external advertising companies.",PARTIAL,"Data is transferred to Google in the US, but no specific safeguards (e.g., SCCs) are mentioned; only a link to Google's privacy policy.",PARTIAL,"Users can communicate questions about privacy policy or access to personal data via contact form, but the right to access is not explicitly named.",PARTIAL,"Users can request amendments to personal data, but the right to rectification is not explicitly named.",NO,No mention of the right to erasure or 'right to be forgotten'.,NO,No mention of the right to restrict processing.,NO,No mention of the right to data portability.,NO,No mention of the right to object to processing.,PARTIAL,"Users can change privacy settings or delete cookies, but the right to withdraw consent at any time is not clearly stated.",NO,No mention of the right to lodge a complaint with a supervisory authority.,NO,No mention of automated decision-making or profiling.,YES,Website uses cookies. A cookie is a simple small file...,YES,"If you want to delete cookies, you should do this in the settings of your browser. Consult the 'help' function of your browser if needed.",YES,Third-party cookies are used by Google and other external advertising companies.,PARTIAL,"The policy is generally clear but contains some legal references and lacks explicit rights explanations, making it somewhat confusing.",YES,"The policy is presented as a separate page on the website, likely linked in the footer.",NO,No mention of collecting data from third parties; data is collected directly from users or via cookies.,success,"The privacy policy identifies the controller and provides contact details, but fails to specify legal bases for most processing, does not inform users of key GDPR rights (erasure, portability, objection, complaint), and lacks details on international transfer safeguards. The policy is partially clear but non-compliant with several GDPR transparency requirements.",True
PARTIALLY_COMPLIANT,48,1001jeux.fr,,French,YES,Admeen B.V. is responsible for the processing of the data on Website.,YES,"Admeen B.V., Duurzaamheidstraat 13, 8094 SC Hattemerbroek, the Netherlands, E-mail: legal@admeen.com",NO,No DPO contact details are provided.,YES,"Stated below are the main reasons and personal data we, and our third party partners, process (mainly through cookies).",PARTIAL,"Consent is mentioned for third-party cookies, but legal basis for other processing (e.g., functional cookies) is not explicitly stated.",NO,No legitimate interest is claimed or described.,YES,You do so by pressing 'I agree' in the cookie bar or if you decide to click on the Website after the cookie bar has popped up.,PARTIAL,We will not store data provided passively longer than strictly necessary for the purpose for which they were collected.,YES,"Google, CrazyGames, Famobi, GameDistribution, GoodGame, BigPoint, Upjers are listed as third-party partners.",PARTIAL,"The information thus obtained will be transmitted to, and stored by, Google on servers in the United States. No safeguards (e.g., SCCs) are mentioned.",PARTIAL,You may at all times communicate all your questions about our privacy policy or questions regarding access and amendments to your personal data.,PARTIAL,"Same as above, 'amendments' implies rectification but not explicitly named.",NO,No mention of the right to erasure.,NO,No mention of the right to restrict processing.,NO,No mention of the right to data portability.,NO,No mention of the right to object.,PARTIAL,At any time you can change the privacy settings for this website by clicking on the Privacy Settings link.,NO,No mention of the right to lodge a complaint with a supervisory authority.,NO,No mention of automated decision-making or profiling.,YES,Website uses cookies.,YES,"If you want to delete cookies, you should do this in the settings of your browser.",YES,Third-party: Because of these cookies we can display advertisements tuned to your interests.,PARTIAL,The policy is generally clear but contains some legalistic phrasing and lacks explicit rights explanations.,YES,The policy is presented as a dedicated page on the website.,NO,No mention of data collected from third parties.,success,"The privacy policy covers basic controller identity, purposes, and cookie use, but lacks explicit legal bases for most processing, fails to inform users of key rights (erasure, restriction, portability, objection, complaint), and does not address international transfer safeguards or automated decision-making. It is partially compliant with GDPR.",True
PARTIALLY_COMPLIANT,45,1001jogos.pt,,Portuguese,YES,Admeen B.V. is responsible for the processing of the data on Website.,YES,Admeen B.V. Attn 1001jogos.pt Duurzaamheidstraat 13 8094 SC Hattemerbroek the Netherlands E-mail: legal@admeen.com,NO,No mention of a Data Protection Officer (DPO) or its contact details.,YES,"Stated below are the main reasons and personal data we, and our third party partners, process (mainly through cookies).",PARTIAL,"Consent is mentioned for third-party cookies ('These cookies are stored after your consent'), but legal basis for other processing (e.g., functional cookies) is not explicitly stated.",NO,No mention of legitimate interest as a legal basis.,PARTIAL,"Consent is obtained via cookie bar ('by pressing I agree'), but withdrawal is only implied through privacy settings link and deleting cookies, not clearly explained.",PARTIAL,We will not store data provided passively longer than strictly necessary for the purpose for which they were collected. No specific retention periods or criteria for actively provided data.,YES,"Third parties such as Google, CrazyGames, Famobi, GameDistribution, GoodGame, BigPoint, Upjers are listed as recipients.",PARTIAL,"Data is transferred to Google in the United States, but no mention of safeguards like Standard Contractual Clauses or adequacy decision.",PARTIAL,You may at all times communicate all your questions about our privacy policy or questions regarding access and amendments to your personal data. Does not explicitly mention the right to access.,PARTIAL,Mentions 'amendments to your personal data' but does not explicitly state the right to rectification.,NO,No mention of the right to erasure (right to be forgotten).,NO,No mention of the right to restrict processing.,NO,No mention of the right to data portability.,NO,No mention of the right to object to processing.,PARTIAL,At any time you can change the privacy settings for this website by clicking on the Privacy Settings link. Does not explicitly state the right to withdraw consent at any time.,NO,No mention of the right to lodge a complaint with a supervisory authority.,NO,No mention of automated decision-making or profiling.,YES,Website uses cookies. A cookie is a simple small file...,YES,"If you want to delete cookies, you should do this in the settings of your browser. Consult the 'help' function of your browser if needed. On www.youronlinechoices.com third party cookies can be deleted...",YES,Third-party: Because of these cookies we can display advertisements tuned to your interests.,PARTIAL,"The policy is generally clear but contains some legalistic phrases and is lengthy, making it less plain for all users.",YES,The policy is accessible via a link in the footer (implied by standard website structure) and is presented as a separate page.,NO,No mention of collecting data from third parties; data is collected directly from users or via cookies.,success,"The privacy policy covers basic controller identity, contact details, purposes, and cookie usage, but lacks explicit legal bases, retention criteria, many data subject rights (erasure, portability, objection, complaint), and safeguards for international transfers. It is partially compliant with GDPR requirements.",True
