domain,status,source,url,failure_reason
youtu.be,skipped,existing_file,,
telekom.de,skipped,existing_file,,
iiko.it,not_found,,,homepage_unreachable
t-online.de,not_found,,,no_privacy_links
linktr.ee,skipped,existing_file,,
rzone.de,not_found,,,homepage_unreachable
amazon.de,skipped,existing_file,,
gandi-ns.fr,not_found,,,homepage_unreachable
google.de,skipped,existing_file,,
free.fr,not_found,,,no_privacy_links
amazon.fr,skipped,existing_file,,
spiegel.de,not_found,,,no_privacy_links
lemonde.fr,skipped,existing_file,,
amazon.es,skipped,existing_file,,
allegro.pl,not_found,,,homepage_unreachable
amazon.it,skipped,existing_file,,
seznam.cz,not_found,,,no_privacy_links
wp.pl,skipped,existing_file,,
ddnss.de,skipped,existing_file,,
bild.de,not_found,,,no_privacy_links
lefigaro.fr,not_found,,,no_privacy_links
welt.de,not_found,,,no_privacy_links
focus.de,not_found,,,no_privacy_links
ebay.de,skipped,existing_file,,
otto.de,not_found,,,no_privacy_links
repubblica.it,skipped,existing_file,,
kleinanzeigen.de,not_found,,,no_privacy_links
corriere.it,skipped,existing_file,,
onet.pl,not_found,,,no_privacy_links
redd.it,skipped,existing_file,,
elmundo.es,found,homepage_link,https://www.elmundo.es/internacional/2026/05/01/69f4a9f221efa0eb218b4585.html,
leparisien.fr,not_found,,,no_privacy_links
abc.es,skipped,existing_file,,
ouest-france.fr,not_found,,,homepage_unreachable
n-tv.de,skipped,existing_file,,
idnes.cz,skipped,existing_file,,
olx.pl,not_found,,,homepage_unreachable
franceinfo.fr,not_found,,,no_privacy_links
leboncoin.fr,not_found,,,homepage_unreachable
superhosting.bg,skipped,existing_file,,
skroutz.gr,skipped,existing_file,,
aftonbladet.se,skipped,existing_file,,
20minutes.fr,not_found,,,no_privacy_links
nu.nl,skipped,existing_file,,
ad.nl,skipped,existing_file,,
lequipe.fr,not_found,,,no_privacy_links
vinted.fr,skipped,existing_file,,
kicker.de,not_found,,,no_privacy_links
marktplaats.nl,skipped,existing_file,,
remove.bg,skipped,existing_file,,
gazzetta.it,skipped,existing_file,,
bund.de,not_found,,,no_privacy_links
merkur.de,not_found,,,no_privacy_links
hln.be,not_found,,,homepage_unreachable
expressen.se,skipped,existing_file,,
ebay.it,skipped,existing_file,,
emag.ro,not_found,,,no_privacy_links
actu.fr,not_found,,,no_privacy_links
ilfattoquotidiano.it,skipped,existing_file,,
leroymerlin.fr,not_found,,,homepage_unreachable
tvn24.pl,not_found,,,no_privacy_links
sapo.pt,not_found,,,no_privacy_links
subito.it,not_found,,,homepage_unreachable
novinky.cz,not_found,,,no_privacy_links
mediaexpert.pl,not_found,,,homepage_unreachable
idealista.it,not_found,,,homepage_unreachable
inps.it,skipped,existing_file,,
ilmeteo.it,skipped,existing_file,,
otomoto.pl,skipped,existing_file,,
iltalehti.fi,not_found,,,no_privacy_links
protothema.gr,not_found,,,no_privacy_links
filmweb.pl,skipped,existing_file,,
jutarnji.hr,not_found,,,no_privacy_links
index.hr,not_found,,,no_privacy_links
eltiempo.es,skipped,existing_file,,
ekstrabladet.dk,not_found,,,no_privacy_links
immobiliare.it,not_found,,,homepage_unreachable
bt.dk,not_found,,,no_privacy_links
xvideos.es,not_found,,,no_privacy_links
joyclub.de,not_found,,,no_privacy_links
xnxx.es,not_found,,,no_privacy_links
toyhou.se,not_found,,,homepage_unreachable
google.fr,skipped,existing_file,,
njuskalo.hr,skipped,existing_file,,
librus.pl,not_found,,,no_privacy_links
skelbiu.lt,not_found,,,homepage_unreachable
ladies.de,skipped,existing_file,,
bazos.sk,skipped,existing_file,,
autoplius.lt,not_found,,,homepage_unreachable
publi24.ro,not_found,,,homepage_unreachable
diretta.it,skipped,existing_file,,
flashscore.fr,skipped,existing_file,,
hasznaltauto.hu,not_found,,,homepage_unreachable
annunci69.it,skipped,existing_file,,
livescore.cz,not_found,,,no_privacy_links
google.es,skipped,existing_file,,
zeit.de,not_found,,,no_privacy_links
your-server.de,not_found,,,homepage_unreachable
tagesschau.de,not_found,,,no_privacy_links
google.it,skipped,existing_file,,
simpli.fi,skipped,existing_file,,
yle.fi,not_found,,,no_privacy_links
telefonica.de,not_found,,,no_privacy_links
francebleu.fr,not_found,,,no_privacy_links
lin.ee,not_found,,,homepage_unreachable
zalando.de,not_found,,,homepage_unreachable
ndr.de,not_found,,,no_privacy_links
poste.it,skipped,existing_file,,
google.nl,skipped,existing_file,,
geoedge.be,not_found,,,homepage_unreachable
ioam.de,not_found,,,no_privacy_links
shorturl.at,not_found,,,homepage_unreachable
nos.nl,not_found,,,no_privacy_links
mobile.de,not_found,,,homepage_unreachable
ionos.de,skipped,existing_file,,
web.de,not_found,,,no_privacy_links
loopia.se,not_found,,,no_privacy_links
strato.de,not_found,,,no_privacy_links
ceneo.pl,not_found,,,no_privacy_links
markt.de,not_found,,,no_privacy_links
admatic.de,skipped,existing_file,,
ccc.de,skipped,existing_file,,
home.pl,not_found,,,no_privacy_links
ladepeche.fr,not_found,,,no_privacy_links
orange.fr,skipped,existing_file,,
mpg.de,skipped,existing_file,,
ns.se,not_found,,,homepage_unreachable
aemet.es,skipped,existing_file,,
sueddeutsche.de,skipped,existing_file,,
is.fi,not_found,,,no_privacy_links
heise.de,skipped,existing_file,,
google.pl,skipped,existing_file,,
abola.pt,not_found,,,no_privacy_links
dns.pt,skipped,existing_file,,
com.se,skipped,existing_file,,
chip.de,not_found,,,no_privacy_links
e5.sk,not_found,,,homepage_unreachable
haxx.se,not_found,,,no_privacy_links
google.be,skipped,existing_file,,
google.at,skipped,existing_file,,
curl.se,not_found,,,no_privacy_links
check24.de,not_found,,,no_privacy_links
univie.ac.at,not_found,,,no_privacy_links
rtve.es,skipped,existing_file,,
webgo.de,not_found,,,no_privacy_links
websupport.sk,skipped,existing_file,,
sfr.fr,found,common_path,https://www.sfr.fr/privacy/,
google.se,skipped,existing_file,,
serveriai.lt,skipped,existing_file,,
dhl.de,not_found,,,no_privacy_links
wanadoo.fr,skipped,existing_file,,
cnil.fr,skipped,existing_file,,
idealo.de,not_found,,,homepage_unreachable
interia.pl,not_found,,,no_privacy_links
ec-lyon.fr,not_found,,,no_privacy_links
tagesspiegel.de,not_found,,,no_privacy_links
kahoot.it,skipped,existing_file,,
libero.it,not_found,,,no_privacy_links
zdf.de,not_found,,,no_privacy_links
bahn.de,skipped,existing_file,,
nic.de,not_found,,,no_privacy_links
gemius.pl,not_found,,,no_privacy_links
br.de,not_found,,,no_privacy_links
second-ns.de,not_found,,,homepage_unreachable
google.cz,skipped,existing_file,,
cnrs.fr,skipped,existing_file,,
dns.it,not_found,,,homepage_unreachable
orf.at,not_found,,,no_privacy_links
dfn.nl,skipped,existing_file,,
fraunhofer.de,not_found,,,no_privacy_links
transip.nl,skipped,existing_file,,
e-recht24.de,skipped,existing_file,,
ansa.it,skipped,existing_file,,
radiofrance.fr,not_found,,,no_privacy_links
google.pt,skipped,existing_file,,
adscale.de,not_found,,,no_privacy_links
nic.fr,skipped,existing_file,,
google.ro,skipped,existing_file,,
xplosion.de,skipped,existing_file,,
liberation.fr,not_found,,,homepage_unreachable
immobilienscout24.de,not_found,,,homepage_unreachable
aruba.it,skipped,existing_file,,
amazon.nl,skipped,existing_file,,
google.dk,skipped,existing_file,,
register.it,skipped,existing_file,,
weborama.fr,skipped,existing_file,,
lesechos.fr,not_found,,,homepage_unreachable
arbeitsagentur.de,skipped,existing_file,,
google.ie,skipped,existing_file,,
rte.ie,skipped,existing_file,,
google.fi,skipped,existing_file,,
your-storageshare.de,skipped,existing_file,,
ardmediathek.de,not_found,,,no_privacy_links
independent.ie,skipped,existing_file,,
joyn.de,not_found,,,no_privacy_links
stern.de,not_found,,,no_privacy_links
www.gov.pl,skipped,existing_file,,
cnr.it,skipped,existing_file,,
wetteronline.de,skipped,existing_file,,
rfi.fr,not_found,,,homepage_unreachable
goethe.de,skipped,existing_file,,
gesetze-im-internet.de,not_found,,,no_privacy_links
cwi.nl,skipped,existing_file,,
elster.de,not_found,,,no_privacy_links
hosteurope.de,skipped,existing_file,,
vrt.be,skipped,existing_file,,
20minutos.es,skipped,existing_file,,
dns.nl,not_found,,,homepage_unreachable
derstandard.at,skipped,existing_file,,
amazon.pl,skipped,existing_file,,
superbet.ro,skipped,existing_file,,
amazon.se,skipped,existing_file,,
sky.it,skipped,existing_file,,
google.gr,skipped,existing_file,,
swr.de,not_found,,,no_privacy_links
boe.es,skipped,existing_file,,
bayern.de,not_found,,,no_privacy_links
pin.it,skipped,existing_file,,
rwth-aachen.de,skipped,existing_file,,
lastampa.it,skipped,existing_file,,
eldiario.es,skipped,existing_file,,
siemens.de,not_found,,,no_privacy_links
gazeta.pl,not_found,,,no_privacy_links
svt.se,skipped,existing_file,,
redcdn.pl,not_found,,,homepage_unreachable
index.hu,not_found,,,no_privacy_links
wdr.de,not_found,,,no_privacy_links
blogspot.de,skipped,existing_file,,
nic.cz,skipped,existing_file,,
tum.de,skipped,existing_file,,
uu.nl,skipped,existing_file,,
juntadeandalucia.es,skipped,existing_file,,
dr.dk,not_found,,,no_privacy_links
